date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:55:38	45994/45994	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202019%2004:55:35%20GMT	https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1	C:/Meus%20Sites/bolo/mestredosafiliados.kpages.online/nova-pagina-319603ff4e.html	(from )
04:55:38	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Oct%202019%2004:55:36%20GMT	https://mestredosafiliados.kpages.online/robots.txt		(from )
04:55:39	45994/45994	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202019%2004:55:36%20GMT	https://mestredosafiliados.kpages.online/nova-pagina-319603	C:/Meus%20Sites/bolo/mestredosafiliados.kpages.online/nova-pagina-319603.html	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:40	297714/297714	---MCZ	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202019%2017:46:21%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1548698343	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/app/assets/stylesheets/publishc0c6.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:41	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%225d5a23659315e5e3ee2ab61beb14bb7e%22	http://connect.facebook.net/pt_BR/sdk.js	C:/Meus%20Sites/bolo/connect.facebook.net/pt_BR/sdk.js	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:42	0/0	---M--	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/body/begin.js?v=1548698343	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/app/assets/javascripts/public/js/body/beginc0c6.js	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:42	1290/1290	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2018:11:48%20GMT	http://static-public.klickpages.com.br/tmp/zip/919/styles/main.css?v=1532369506	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/919/styles/mainb587.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:47	44522/44522	---MC-	200	added ('OK')	application/javascript	date:Thu,%2017%20Oct%202019%2004:55:38%20GMT	https://apis.google.com/js/plus.js	C:/Meus%20Sites/bolo/apis.google.com/js/plus.js	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:47	33579/33579	---M--	200	added ('OK')	image/jpeg	etag:%22d6097b9a79e1de42c8c95301b79dc880%22	http://static-public.klickpages.com.br/uploads/media/file/688996/img_20181229_13061754678591.jpg	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/uploads/media/file/688996/img_20181229_13061754678591.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:47	235524/235524	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Sep%202019%2017:33:25%20GMT	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/include.js?v=1548698343	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/app/assets/javascripts/public/js/includec0c6.js	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:47	1777/1777	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2019:28:41%20GMT	http://static-public.klickpages.com.br/tmp/zip/920/styles/main.css?v=1532374120	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/920/styles/main849a.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:48	26318/26318	---MCZ	200	added ('OK')	text/css	date:Wed,%2005%20Sep%202018%2014:35:16%20GMT	http://static-public.klickpages.com.br/tmp/zip/1037/styles/main.css?v=1536158115	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/1037/styles/main1048.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:48	44528/44528	---MC-	200	added ('OK')	application/javascript	date:Thu,%2017%20Oct%202019%2004:55:39%20GMT	https://apis.google.com/js/plusone.js	C:/Meus%20Sites/bolo/apis.google.com/js/plusone.js	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:49	279/279	---M--	200	added ('OK')	image/png	etag:%22b7990a0569bb11cf1fe0dc8bab94d8b9%22	http://static-public.klickpages.com.br/tmp/zip/1037/images/ico/play.png?v=1536158115	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/1037/images/ico/play1048.png	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:49	45994/45994	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Oct%202019%2004:55:46%20GMT	https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=2i2qj5nlv	C:/Meus%20Sites/bolo/mestredosafiliados.kpages.online/nova-pagina-3196030ca0.html	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:52	15012/15012	---M--	200	added ('OK')	image/jpeg	etag:%22101353f02d2bdf95e1a9e98e08441ba5%22	http://static-public.klickpages.com.br/tmp/zip/1037/images/upload/thumb-02.jpeg?v=1536158115	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/1037/images/upload/thumb-021048.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:52	18595/18595	---M--	200	added ('OK')	image/jpeg	etag:%220aed4764eb0dbdc348b81c8e3d8d4cd1%22	http://static-public.klickpages.com.br/tmp/zip/1037/images/upload/thumb-01.jpeg?v=1536158115	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/1037/images/upload/thumb-011048.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:52	3601/3601	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2019:34:24%20GMT	http://static-public.klickpages.com.br/tmp/zip/921/styles/main.css?v=1532374462	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/921/styles/main6404.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:52	2936/2936	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2020:14:54%20GMT	http://static-public.klickpages.com.br/tmp/zip/922/styles/main.css?v=1532376893	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/922/styles/main6a31.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:53	3786/3786	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2020:18:41%20GMT	http://static-public.klickpages.com.br/tmp/zip/923/styles/main.css?v=1532377120	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/923/styles/main4c87.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:53	19109/19109	---M--	200	added ('OK')	image/jpeg	etag:%22622173337093cfc0f5baff5d3b1d8912%22	http://static-public.klickpages.com.br/tmp/zip/1037/images/upload/thumb-03.jpeg?v=1536158115	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/1037/images/upload/thumb-031048.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:58	32361/32361	---M--	200	added ('OK')	image/jpeg	etag:%22133020d40782f96c67c879ac1dc0d4c2%22	http://static-public.klickpages.com.br/uploads/media/file/688969/img_20181229_1329337918180.jpg	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/uploads/media/file/688969/img_20181229_1329337918180.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:55:58	2361/2361	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2020:23:36%20GMT	http://static-public.klickpages.com.br/tmp/zip/924/styles/main.css?v=1532377415	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/924/styles/maine7d5.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:05	127339/127339	---M--	200	added ('OK')	image/jpeg	etag:%228a9a0b600a6a9469da22ade95db9b066%22	http://static-public.klickpages.com.br/tmp/zip/920/images/bg.jpg?v=1532374120	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/920/images/bg849a.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:12	127339/127339	---M--	200	added ('OK')	image/jpeg	etag:%228a9a0b600a6a9469da22ade95db9b066%22	http://static-public.klickpages.com.br/tmp/zip/922/images/bg.jpg?v=1532376893	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/922/images/bg6a31.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:13	3471/3471	---M--	200	added ('OK')	image/jpeg	etag:%2219cc270b981516bfbb03bb0a5a2749da%22	http://static-public.klickpages.com.br/tmp/zip/924/images/upload/preview-02.jpg?v=1532377415	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/924/images/upload/preview-02e7d5.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:17	74046/74046	---M--	200	added ('OK')	image/jpeg	etag:%222fb126becba5a11dde3de3089415cf41%22	http://static-public.klickpages.com.br/uploads/media/file/688986/img-20181108-wa0001.jpg	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/uploads/media/file/688986/img-20181108-wa0001.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:17	1651/1651	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2020:44:47%20GMT	http://static-public.klickpages.com.br/tmp/zip/925/styles/main.css?v=1532378686	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/925/styles/mainee72.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:18	1142/1142	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2020:49:36%20GMT	http://static-public.klickpages.com.br/tmp/zip/926/styles/main.css?v=1532378974	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/926/styles/main0884.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:19	127339/127339	---M--	200	added ('OK')	image/jpeg	etag:%228a9a0b600a6a9469da22ade95db9b066%22	http://static-public.klickpages.com.br/tmp/zip/924/images/bg.jpg?v=1532377415	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/924/images/bge7d5.jpg	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:19	1790/1790	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2020:54:02%20GMT	http://static-public.klickpages.com.br/tmp/zip/927/styles/main.css?v=1532379240	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/927/styles/mainffcc.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:19	1024/1024	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202017%2014:43:04%20GMT	http://static-public.klickpages.com.br/tmp/zip/689/styles/main.css?v=1493217783	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/689/styles/main9035.css	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
04:56:20	14458/14458	---M--	200	added ('OK')	image/png	etag:%227551bc5e99205ee3b74d399552cf6b12%22	http://static-public.klickpages.com.br/tmp/zip/926/images/garantia.png?v=1532378974	C:/Meus%20Sites/bolo/static-public.klickpages.com.br/tmp/zip/926/images/garantia0884.png	(from https://mestredosafiliados.kpages.online/nova-pagina-319603?blog=pymynajm&video=3wvi8tbo1)
